# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213        8.62        0.04
    EIS             Fe X 184.536       21.68        0.08
    EIS            Fe XI 180.401       99.79        0.25
    EIS            Fe XI 188.216       53.69        0.06
    EIS           Fe XII 192.394       36.42        0.04
    EIS           Fe XII 195.119      137.84        0.07
    EIS          Fe XIII 202.044      186.48        0.14
    EIS          Fe XIII 203.826       49.38        0.11
    EIS            He II 256.317       60.12        0.33
    EIS             O VI 184.117        3.80        0.04
    EIS              S X 264.233        7.95        0.03
    EIS           Si VII 275.368        3.80        0.03
    EIS            Si IX 258.073        1.20        0.03
    EIS             Si X 258.375       15.81        0.05
    EIS             Si X 261.058        8.64        0.04
    EIS             Si X 271.990        7.84        0.04
    EIS             Si X 277.265        4.84        0.03
