# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       32.37        0.08
    EIS             Fe X 184.536       81.66        0.15
    EIS            Fe XI 180.401      168.32        0.41
    EIS            Fe XI 188.216       88.57        0.09
    EIS           Fe XII 192.394       20.06        0.04
    EIS           Fe XII 195.119       72.20        0.06
    EIS          Fe XIII 202.044       19.90        0.06
    EIS          Fe XIII 203.826       16.38        0.08
    EIS            He II 256.317      166.33        0.24
    EIS             O VI 184.117       10.23        0.07
    EIS              S X 264.233        9.30        0.04
    EIS           Si VII 275.368       17.16        0.05
    EIS            Si IX 258.073        3.15        0.05
    EIS             Si X 258.375       24.21        0.07
    EIS             Si X 261.058       10.93        0.05
    EIS             Si X 271.990       11.11        0.04
    EIS             Si X 277.265        7.04        0.04
