# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       16.79        0.07
    EIS             Fe X 184.536       62.80        0.14
    EIS            Fe XI 180.401      206.72        0.43
    EIS            Fe XI 188.216      100.08        0.11
    EIS           Fe XII 192.394       33.91        0.05
    EIS           Fe XII 195.119      120.14        0.08
    EIS          Fe XIII 202.044       63.57        0.10
    EIS          Fe XIII 203.826       13.73        0.09
    EIS            He II 256.317       84.69        0.45
    EIS             O VI 184.117        5.51        0.06
    EIS              S X 264.233        9.86        0.04
    EIS           Si VII 275.368        6.62        0.04
    EIS            Si IX 258.073        1.52        0.05
    EIS             Si X 258.375       23.82        0.08
    EIS             Si X 261.058       10.55        0.05
    EIS             Si X 271.990        7.93        0.04
    EIS             Si X 277.265        6.58        0.04
