# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       20.87        0.07
    EIS             Fe X 184.536       65.75        0.14
    EIS            Fe XI 180.401      164.69        0.40
    EIS            Fe XI 188.216       77.96        0.10
    EIS           Fe XII 192.394       17.00        0.04
    EIS           Fe XII 195.119       60.08        0.06
    EIS          Fe XIII 202.044       18.05        0.06
    EIS          Fe XIII 203.826        6.71        0.06
    EIS            He II 256.317       99.78        0.26
    EIS             O VI 184.117        7.16        0.06
    EIS              S X 264.233        6.94        0.04
    EIS           Si VII 275.368        7.19        0.04
    EIS            Si IX 258.073        1.82        0.04
    EIS             Si X 258.375       16.83        0.07
    EIS             Si X 261.058        8.32        0.05
    EIS             Si X 271.990        6.82        0.04
    EIS             Si X 277.265        3.95        0.04
