# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       16.15        0.06
    EIS             Fe X 184.536       47.59        0.12
    EIS            Fe XI 180.401      186.22        0.42
    EIS            Fe XI 188.216       88.06        0.10
    EIS           Fe XII 192.394       42.08        0.05
    EIS           Fe XII 195.119      154.72        0.09
    EIS          Fe XIII 202.044      129.96        0.14
    EIS          Fe XIII 203.826       29.44        0.11
    EIS            He II 256.317      111.36        0.23
    EIS             O VI 184.117        7.85        0.06
    EIS              S X 264.233        9.02        0.04
    EIS           Si VII 275.368        4.40        0.04
    EIS            Si IX 258.073        2.51        0.04
    EIS             Si X 258.375       21.59        0.07
    EIS             Si X 261.058       12.43        0.06
    EIS             Si X 271.990        7.98        0.05
    EIS             Si X 277.265        5.53        0.04
