# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       24.80        0.05
    EIS             Fe X 184.536       87.53        0.11
    EIS            Fe XI 180.401      236.22        0.33
    EIS            Fe XI 188.216      117.31        0.07
    EIS           Fe XII 192.394       32.53        0.03
    EIS           Fe XII 195.119      114.77        0.06
    EIS          Fe XIII 202.044       47.20        0.06
    EIS          Fe XIII 203.826       12.88        0.05
    EIS            He II 256.317      188.33        0.20
    EIS             O VI 184.117        9.80        0.05
    EIS              S X 264.233       15.16        0.03
    EIS           Si VII 275.368       13.65        0.03
    EIS            Si IX 258.073        3.35        0.03
    EIS             Si X 258.375       35.25        0.06
    EIS             Si X 261.058       18.32        0.04
    EIS             Si X 271.990       16.65        0.03
    EIS             Si X 277.265       11.48        0.03
