# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       21.46        0.05
    EIS             Fe X 184.536       52.76        0.10
    EIS            Fe XI 180.401      113.94        0.24
    EIS            Fe XI 188.216       50.13        0.05
    EIS           Fe XII 192.394        8.57        0.02
    EIS           Fe XII 195.119       31.58        0.04
    EIS          Fe XIII 202.044        6.47        0.03
    EIS          Fe XIII 203.826        3.21        0.03
    EIS            He II 256.317       99.18        0.12
    EIS             O VI 184.117        6.74        0.04
    EIS              S X 264.233        3.32        0.02
    EIS           Si VII 275.368        5.64        0.02
    EIS            Si IX 258.073        0.45        0.01
    EIS             Si X 258.375        9.69        0.04
    EIS             Si X 261.058        3.85        0.02
    EIS             Si X 271.990        3.50        0.03
    EIS             Si X 277.265        2.76        0.03
